Polymer,Average_Count,Rep,Cell type
369,0,1,iTEC
424,21,1,iTEC
396,20,1,iTEC
258,38,1,iTEC
427,32.75,1,iTEC
329,14.5,1,iTEC
317,21,1,iTEC
529,17,1,iTEC
394,15.25,1,iTEC
563,20.75,1,iTEC
111,16.75,1,iTEC
232,17,1,iTEC
276,26,1,iTEC
309,17.25,1,iTEC
98,25.75,1,iTEC
327,13.5,1,iTEC
531,15.25,1,iTEC
488,17,1,iTEC
481,10,1,iTEC
520,21.75,1,iTEC
117,12.75,1,iTEC
296,8.5,1,iTEC
342,8.5,1,iTEC
287,20,1,iTEC
551,24.25,1,iTEC
316,14.5,1,iTEC
461,15.5,1,iTEC
519,8.75,1,iTEC
235,19.75,1,iTEC
509,20.25,1,iTEC
361,8.25,1,iTEC
398,25,1,iTEC
422,14,1,iTEC
369,0,2,iTEC
424,13.5,2,iTEC
396,11.25,2,iTEC
258,3.25,2,iTEC
427,3.5,2,iTEC
329,4.75,2,iTEC
317,10,2,iTEC
529,0.5,2,iTEC
394,1.25,2,iTEC
563,28.5,2,iTEC
111,0.75,2,iTEC
232,6.75,2,iTEC
276,3,2,iTEC
309,1.5,2,iTEC
98,0.75,2,iTEC
327,10,2,iTEC
531,7,2,iTEC
488,3.75,2,iTEC
481,0.75,2,iTEC
520,8,2,iTEC
117,2.75,2,iTEC
296,4.75,2,iTEC
342,4,2,iTEC
287,2.5,2,iTEC
551,16,2,iTEC
316,5,2,iTEC
461,3,2,iTEC
519,1.25,2,iTEC
235,5.25,2,iTEC
509,1,2,iTEC
361,0.25,2,iTEC
398,10,2,iTEC
422,3.25,2,iTEC
369,0,3,iTEC
424,2.25,3,iTEC
396,5.25,3,iTEC
258,7.75,3,iTEC
427,8.5,3,iTEC
329,11,3,iTEC
317,5.75,3,iTEC
529,10,3,iTEC
394,14.5,3,iTEC
563,8.25,3,iTEC
111,10,3,iTEC
232,5,3,iTEC
276,4.5,3,iTEC
309,19.5,3,iTEC
98,11,3,iTEC
327,8.75,3,iTEC
531,9.25,3,iTEC
488,9.75,3,iTEC
481,8,3,iTEC
520,7.5,3,iTEC
117,7.25,3,iTEC
296,5.5,3,iTEC
342,3.25,3,iTEC
287,11.5,3,iTEC
551,7.75,3,iTEC
316,9.75,3,iTEC
461,11.5,3,iTEC
519,6.25,3,iTEC
235,10.25,3,iTEC
509,3.5,3,iTEC
361,9,3,iTEC
398,4.25,3,iTEC
422,4.75,3,iTEC
120,0.75,1,MEFs
141,0.75,1,MEFs
176,3.5,1,MEFs
201,0.75,1,MEFs
259,2.75,1,MEFs
260,2.75,1,MEFs
261,1,1,MEFs
279,1.25,1,MEFs
287,0.5,1,MEFs
307,0.5,1,MEFs
309,2,1,MEFs
314,0.25,1,MEFs
319,1.25,1,MEFs
332,2.5,1,MEFs
380,1.25,1,MEFs
394,0.5,1,MEFs
411,0.5,1,MEFs
415,0.5,1,MEFs
426,1.25,1,MEFs
457,6.75,1,MEFs
464,0.5,1,MEFs
470,2.75,1,MEFs
512,1.75,1,MEFs
539,1.25,1,MEFs
120,11.75,2,MEFs
141,22,2,MEFs
176,4.25,2,MEFs
201,11.5,2,MEFs
259,8.75,2,MEFs
260,10.25,2,MEFs
261,12,2,MEFs
279,18.5,2,MEFs
287,13.5,2,MEFs
307,29.5,2,MEFs
309,34.75,2,MEFs
314,4.5,2,MEFs
319,3.75,2,MEFs
332,3,2,MEFs
380,10.25,2,MEFs
394,1.25,2,MEFs
411,1.75,2,MEFs
415,8.75,2,MEFs
426,10,2,MEFs
457,35.75,2,MEFs
464,5.5,2,MEFs
470,8.25,2,MEFs
512,9.25,2,MEFs
539,8.75,2,MEFs
120,9.75,3,MEFs
141,8,3,MEFs
176,1.75,3,MEFs
201,6,3,MEFs
259,5.75,3,MEFs
260,16.25,3,MEFs
261,18.75,3,MEFs
279,2.5,3,MEFs
287,47.25,3,MEFs
307,16.75,3,MEFs
309,55,3,MEFs
314,9.75,3,MEFs
319,12.5,3,MEFs
332,10.5,3,MEFs
380,5.5,3,MEFs
394,16.5,3,MEFs
411,18,3,MEFs
415,24.5,3,MEFs
426,27.25,3,MEFs
457,11,3,MEFs
464,22.75,3,MEFs
470,18.5,3,MEFs
512,25.5,3,MEFs
539,2.75,3,MEFs
