Polymer,Total_SP4,Total_DP,Total_DN,Total_SP8,BioRep,TechRep,Group
111,73,72,19143,175,1,2,Synthetic 
111,19,9,9276,15,1,1,Synthetic 
111,23,7,3508,12,1,3,Synthetic 
111,258,427,9997,703,2,2,Synthetic 
111,30,14,1621,23,2,1,Synthetic 
111,9,0,1526,5,2,3,Synthetic 
111,1,0,119,3,3,2,Synthetic 
111,1,0,133,1,3,1,Synthetic 
111,4,0,701,6,3,3,Synthetic 
287,1,0,6279,4,1,1,Synthetic 
287,1,0,2780,2,1,3,Synthetic 
287,41,0,2255,0,1,2,Synthetic 
287,4,1,555,8,2,1,Synthetic 
287,8,43,1186,108,2,3,Synthetic 
287,12,3,1968,15,2,2,Synthetic 
287,3,0,104,6,3,1,Synthetic 
287,28,0,1970,9,3,3,Synthetic 
287,3,0,159,5,3,2,Synthetic 
427,41,45,5070,31,1,2,Synthetic 
427,168,172,37508,363,1,1,Synthetic 
427,1039,2390,46958,1966,1,3,Synthetic 
427,651,1131,19420,1720,2,2,Synthetic 
427,231,37,14869,233,2,1,Synthetic 
427,212,562,12279,181,2,3,Synthetic 
427,50,6,4300,22,3,2,Synthetic 
427,18,0,855,7,3,1,Synthetic 
427,50,156,479,45,3,3,Synthetic 
519,117,253,8989,313,1,3,Synthetic 
519,4,115,16763,185,1,2,Synthetic 
519,1171,5,6018,10,1,1,Synthetic 
519,9,0,646,6,2,3,Synthetic 
519,77,148,3137,47,2,2,Synthetic 
519,14,9,1466,3,2,1,Synthetic 
519,2,0,82,0,3,3,Synthetic 
519,1,0,214,5,3,2,Synthetic 
519,3,0,126,4,3,1,Synthetic 
Gel,67,16,1061,64,1,2,Natural
Gel,12,247,3770,242,1,1,Natural
Gel,18,46,1435,21,1,3,Natural
Gel,88,97,16179,306,2,2,Natural
Gel,1290,2789,37691,2447,2,1,Natural
Gel,163,266,10284,303,2,3,Natural
Gel,19,4,1646,52,3,2,Natural
Gel,14,0,509,8,3,1,Natural
Gel,182,5,2175,56,3,3,Natural
Glass,11,1,5913,41,1,3,Solvent Control
Glass,95,11,7187,32,1,2,Solvent Control
Glass,5,86,8816,232,1,1,Solvent Control
Glass,345,377,10284,887,2,3,Solvent Control
Glass,736,1111,34209,839,2,2,Solvent Control
Glass,288,572,26096,1120,2,1,Solvent Control
Glass,70,11,985,48,3,3,Solvent Control
Glass,7,0,263,6,3,2,Solvent Control
Glass,22,6,1149,27,3,1,Solvent Control
Mg,62,16,18404,389,1,1,Natural
Mg,48,99,3720,203,1,3,Natural
Mg,12,63,4648,53,1,2,Natural
Mg,45,80,4908,74,2,1,Natural
Mg,127,542,5320,395,2,3,Natural
Mg,17,2,2176,6,2,2,Natural
Mg,16,2,241,14,3,1,Natural
Mg,6,0,289,6,3,3,Natural
Mg,6,2,623,54,3,2,Natural
