Condition,Replicate,Dll4,Dll1,Endogenous Foxn1,Foxn1,AIRE1,Psmb11,Ctsl1,Il-7,Kitl,Flt3L,Ccl25,Cxcl12,MHCII Eb2,Group
Gel,A,8.018505,0,0.6877709,24.25146,0,27.34743,8.205929,0.1466044,19.20398,3.363586,310.1165,2.7007,1.151356,Natural
427,A,8.32048,0,0.92019,30.8386,0,32.2226,9.57983,0.18642,24.2515,4.58419,300.246,3.20428,13.0261,Synthetic
Mg,A,19.6831,0,1.73575,43.1779,0,21.2917,15.6225,0.26223,31.7545,5.73141,474.048,4.2937,8.43013,Natural
Glass,A,10.3947,0,0.71257,32.3968,0,31.877,7.36717,0.14774,29.6052,0,422.98,4.14425,3.6666,Solvent Control
Time 0,A,10.7117,0,3.67509,35.4516,0,9.21794,4.51412,0.1995,19.086,5.4937,147.147,4.70581,0.18315,Before Co-Culture
CreERt2 MEF,A,0.43628,0,0.17515,1.23114,0,1.76949,2.28153,0,5.4014,0.22793,2.63293,,0,Cellular Control
TEPC,A,1.39797,0,1.77769,0.67206,0,1.25992,3.94493,1.65099,2.92141,0.03691,12.8171,18.6788,0,Cellular Control
Gel,B,14.723,1.844632,6.805337,38.14265,0,9.6242,8.633826,1.041262,31.12496,9.803747,367.0925,7.908112,9.917662,Natural
427,B,2.32409,0.28126,0.11162,20.9663,0,20.3459,3.16017,0.16229,12.7286,2.4909,134.364,1.84038,4.36707,Synthetic
Mg,B,7.05347,0,,20.182,0,41.8842,9.41525,0.97265,22.3417,9.95209,277.883,14.5371,7.10253,Natural
Glass,B,5.88347,0.62996,1.08423,29.6508,0,33.5909,4.69134,0.31754,15.3837,4.83439,204.601,2.11404,0.69416,Solvent Control
Time 0,B,4.65714,0.22367,0.01727,57.2596,0,0,4.31525,0.45886,31.7667,3.6203,178.871,9.29279,0.14706,Before Co-Culture
CreERt2 MEF,B,0.00217,0,0.00354,0.00787,0,0.00434,0.02134,0,0.00283,0.01176,0.01812,0.48633,0,Cellular Control
TEPC,B,0.86055,0.06093,1.79005,1.03526,0.0104,1.5874,3.63847,1.29235,1.33176,0,4.36707,8.89709,1.13813,Cellular Control
Gel,C,2.918041,0.1709524,0.3095691,36.97129,0,51.09109,7.808254,0.2329889,4.155437,1.93858,350.9204,0,0.4204482,Natural
427,C,2.47942,0.23816,0.40613,25.753,0,21.8566,5.02805,0.19078,3.24901,1.47768,229.126,0,34.4158,Synthetic
Mg,C,3.61334,0,0.4137,32.5218,0,37.0996,7.2434,0.25116,3.75809,2.4909,381.798,0,3.46615,Natural
Glass,C,3.32751,0.1074,0.30099,35.8635,0,34.722,3.6497,0.29616,2.69343,1.72641,317.61,0,3.9571,Solvent Control
Time 0,C,4.12038,0.28148,0.98699,34.8828,0,17.8491,1.82485,0.18358,6.47304,2.25706,148.17,0,0.16317,Before Co-Culture
CreERt2 MEF,C,,,,,,,,,,,,,,Cellular Control
TEPC,C,1.01866,0,2.71321,3.07375,0.10037,2.81539,2.86129,2.65737,1.62076,0,8.14925,0.02538,2.46798,Cellular Control
