Polymer,Count,Replicate,Group
396,3813.667,A,Exp
258,2229,A,Exp
427,5303.333,A,Exp
529,339.6667,A,Exp
394,3377.333,A,Exp
563,3263,A,Exp
111,5434.333,A,Exp
309,672.3333,A,Exp
98,277,A,Exp
327,2761.667,A,Exp
531,450,A,Exp
481,62.66667,A,Exp
520,4882.667,A,Exp
287,5538.667,A,Exp
551,234,A,Exp
316,2998.667,A,Exp
519,5294,A,Exp
509,1658.667,A,Exp
361,2401.333,A,Exp
398,233.6667,A,Exp
369,497,A,Neg
Gel,5429.667,A,Pos
396,4744,B,Exp
258,527,B,Exp
427,1394.333,B,Exp
529,6.666667,B,Exp
394,3682.667,B,Exp
563,4078.333,B,Exp
111,4514,B,Exp
309,1031,B,Exp
98,8,B,Exp
327,1308.333,B,Exp
531,32,B,Exp
481,30,B,Exp
520,416.6667,B,Exp
287,6670.333,B,Exp
551,1071.333,B,Exp
316,103,B,Exp
519,3898,B,Exp
509,4282,B,Exp
361,0,B,Exp
398,13,B,Exp
369,132.3333,B,Neg
Gel,5155.333,B,Pos
396,5898,C,Exp
258,1176.667,C,Exp
427,15132.33,C,Exp
529,30.33333,C,Exp
394,0,C,Exp
563,14521.33,C,Exp
111,13571,C,Exp
309,7473,C,Exp
98,381.3333,C,Exp
327,524.3333,C,Exp
531,1740.333,C,Exp
481,442.3333,C,Exp
520,7791,C,Exp
287,14325.67,C,Exp
551,16177.33,C,Exp
316,535.6667,C,Exp
519,14170,C,Exp
509,9688,C,Exp
361,151.6667,C,Exp
398,503,C,Exp
369,0,C,Neg
Gel,11900.33,C,Pos
